,Year,Genre,Indicator Name,Value
0,2003,Electronic,New Album Count,256.0
1,2003,Experimental,New Album Count,109.0
2,2003,Folk/Country,New Album Count,31.0
3,2003,Global,New Album Count,6.0
4,2003,Jazz,New Album Count,18.0
5,2003,Metal,New Album Count,36.0
6,2003,Pop/R&B,New Album Count,31.0
7,2003,Rap,New Album Count,60.0
8,2003,Rock,New Album Count,418.0
9,2004,Electronic,New Album Count,238.0
10,2004,Experimental,New Album Count,124.0
11,2004,Folk/Country,New Album Count,45.0
12,2004,Global,New Album Count,8.0
13,2004,Jazz,New Album Count,19.0
14,2004,Metal,New Album Count,35.0
15,2004,Pop/R&B,New Album Count,46.0
16,2004,Rap,New Album Count,70.0
17,2004,Rock,New Album Count,419.0
18,2005,Electronic,New Album Count,252.0
19,2005,Experimental,New Album Count,123.0
20,2005,Folk/Country,New Album Count,46.0
21,2005,Global,New Album Count,12.0
22,2005,Jazz,New Album Count,10.0
23,2005,Metal,New Album Count,41.0
24,2005,Pop/R&B,New Album Count,50.0
25,2005,Rap,New Album Count,73.0
26,2005,Rock,New Album Count,454.0
27,2006,Electronic,New Album Count,236.0
28,2006,Experimental,New Album Count,118.0
29,2006,Folk/Country,New Album Count,54.0
30,2006,Global,New Album Count,16.0
31,2006,Jazz,New Album Count,10.0
32,2006,Metal,New Album Count,49.0
33,2006,Pop/R&B,New Album Count,67.0
34,2006,Rap,New Album Count,64.0
35,2006,Rock,New Album Count,477.0
36,2007,Electronic,New Album Count,230.0
37,2007,Experimental,New Album Count,114.0
38,2007,Folk/Country,New Album Count,71.0
39,2007,Global,New Album Count,27.0
40,2007,Jazz,New Album Count,15.0
41,2007,Metal,New Album Count,37.0
42,2007,Pop/R&B,New Album Count,61.0
43,2007,Rap,New Album Count,64.0
44,2007,Rock,New Album Count,492.0
45,2008,Electronic,New Album Count,224.0
46,2008,Experimental,New Album Count,113.0
47,2008,Folk/Country,New Album Count,62.0
48,2008,Global,New Album Count,17.0
49,2008,Jazz,New Album Count,20.0
50,2008,Metal,New Album Count,57.0
51,2008,Pop/R&B,New Album Count,67.0
52,2008,Rap,New Album Count,75.0
53,2008,Rock,New Album Count,458.0
54,2009,Electronic,New Album Count,242.0
55,2009,Experimental,New Album Count,100.0
56,2009,Folk/Country,New Album Count,53.0
57,2009,Global,New Album Count,15.0
58,2009,Jazz,New Album Count,10.0
59,2009,Metal,New Album Count,38.0
60,2009,Pop/R&B,New Album Count,69.0
61,2009,Rap,New Album Count,67.0
62,2009,Rock,New Album Count,453.0
63,2010,Electronic,New Album Count,299.0
64,2010,Experimental,New Album Count,106.0
65,2010,Folk/Country,New Album Count,52.0
66,2010,Global,New Album Count,15.0
67,2010,Jazz,New Album Count,11.0
68,2010,Metal,New Album Count,42.0
69,2010,Pop/R&B,New Album Count,78.0
70,2010,Rap,New Album Count,84.0
71,2010,Rock,New Album Count,399.0
72,2011,Electronic,New Album Count,320.0
73,2011,Experimental,New Album Count,106.0
74,2011,Folk/Country,New Album Count,45.0
75,2011,Global,New Album Count,14.0
76,2011,Jazz,New Album Count,7.0
77,2011,Metal,New Album Count,35.0
78,2011,Pop/R&B,New Album Count,76.0
79,2011,Rap,New Album Count,97.0
80,2011,Rock,New Album Count,379.0
81,2012,Electronic,New Album Count,286.0
82,2012,Experimental,New Album Count,102.0
83,2012,Folk/Country,New Album Count,20.0
84,2012,Global,New Album Count,9.0
85,2012,Jazz,New Album Count,9.0
86,2012,Metal,New Album Count,93.0
87,2012,Pop/R&B,New Album Count,71.0
88,2012,Rap,New Album Count,141.0
89,2012,Rock,New Album Count,348.0
90,2013,Electronic,New Album Count,283.0
91,2013,Experimental,New Album Count,109.0
92,2013,Folk/Country,New Album Count,31.0
93,2013,Global,New Album Count,8.0
94,2013,Jazz,New Album Count,10.0
95,2013,Metal,New Album Count,88.0
96,2013,Pop/R&B,New Album Count,84.0
97,2013,Rap,New Album Count,106.0
